file,species
1b490196c.png,Charlock
85431c075.png,Fat Hen
506347cfe.png,Common Chickweed
7f46a71db.png,Small-flowered Cranesbill
668c1007c.png,Small-flowered Cranesbill
71f5323c5.png,Fat Hen
1f3f44563.png,Charlock
beebe5f4e.png,Small-flowered Cranesbill
780defa2e.png,Shepherds Purse
df521c0c0.png,Black-grass
466bb6d3b.png,Small-flowered Cranesbill
98d819587.png,Common Chickweed
223e4af09.png,Cleavers
abc331628.png,Cleavers
eef131644.png,Common Chickweed
b7a7f6390.png,Fat Hen
7d3045fc3.png,Common Chickweed
1926e82fd.png,Common Chickweed
a9d2eab61.png,Loose Silky-bent
bffc08672.png,Cleavers
6dd095129.png,Common Chickweed
6db684fff.png,Scentless Mayweed
cec5bf198.png,Loose Silky-bent
bea23d9f8.png,Loose Silky-bent
48d97c645.png,Small-flowered Cranesbill
31f3dd81f.png,Loose Silky-bent
5b63dcc21.png,Loose Silky-bent
b4c3df835.png,Common Chickweed
3abb502fb.png,Sugar beet
54b3afd58.png,Charlock
550a8b7e6.png,Charlock
8585f9718.png,Loose Silky-bent
e478c452c.png,Small-flowered Cranesbill
25a4c427e.png,Fat Hen
39b740f7e.png,Loose Silky-bent
0021e90e4.png,Common Chickweed
9c32a797e.png,Cleavers
958bb9e96.png,Common wheat
bd789d151.png,Charlock
e19ad6ac9.png,Charlock
b7192c70f.png,Fat Hen
24d78df74.png,Sugar beet
0437393b1.png,Common wheat
f9b6bfb00.png,Small-flowered Cranesbill
3fbd0fc6a.png,Common Chickweed
fa9f3a8f9.png,Fat Hen
e88bf0db9.png,Charlock
8a8d6c712.png,Cleavers
377283a21.png,Small-flowered Cranesbill
19618ad6a.png,Sugar beet
a85b48a95.png,Loose Silky-bent
892e9d6c6.png,Fat Hen
e5297b675.png,Loose Silky-bent
af45e222a.png,Fat Hen
026716f9b.png,Loose Silky-bent
c60e91e07.png,Loose Silky-bent
003d61042.png,Charlock
b9062c1c8.png,Fat Hen
866be78b0.png,Small-flowered Cranesbill
7cabd68cc.png,Common Chickweed
fe9e87b78.png,Charlock
c6c8d4ba0.png,Loose Silky-bent
3bbef3ecb.png,Sugar beet
54c8bb900.png,Fat Hen
5dcad9a53.png,Charlock
ef74dbcad.png,Loose Silky-bent
270b939cf.png,Loose Silky-bent
0c27cf05f.png,Common Chickweed
afcf6abd5.png,Common Chickweed
e921021a8.png,Small-flowered Cranesbill
808578ed5.png,Charlock
1f290e016.png,Common Chickweed
a890ac088.png,Maize
20e562fd5.png,Sugar beet
e7077322d.png,Scentless Mayweed
855955aaf.png,Small-flowered Cranesbill
b341d0aab.png,Small-flowered Cranesbill
97b2f0a10.png,Fat Hen
e4d5ec761.png,Loose Silky-bent
a4b61a4ea.png,Black-grass
e1a0e3202.png,Fat Hen
30ad31220.png,Shepherds Purse
ab35453cb.png,Black-grass
1541bdb2e.png,Cleavers
13b9fa92d.png,Cleavers
7691014a1.png,Scentless Mayweed
76dbd1054.png,Scentless Mayweed
ba3ce6b3e.png,Scentless Mayweed
25cf6eb73.png,Charlock
8e3ed0a25.png,Fat Hen
8c9953903.png,Scentless Mayweed
6edb96d45.png,Cleavers
1d48b7564.png,Fat Hen
6a47821f9.png,Shepherds Purse
